vec_len,N,coeff_mod_bit_sizes,scale_pow,trials,keygen_time_s,enc_u_time_s,enc_v_time_s,dot_time_s,decrypt_time_s,ct_u_bytes,ct_sum_bytes,mae_error,mem_delta_mb
1024,8192,"[60, 40, 40, 60]",30,5,0.13574308280003605,0.003531038199980685,0.0032693195998945157,0.014859317599984934,0.000695253599951684,334206.2,235345.8,21.342060166015877,19.2296875
1024,8192,"[60, 40, 40, 60]",40,5,0.1265192209999441,0.003389508600230329,0.0031920751998768537,0.01418365840017941,0.0006179311998494086,334405.4,235356.6,2.069141348215453e-06,0.20234375
1024,8192,"[60, 40, 60]",30,5,0.06986763140012045,0.0028240789999472325,0.0025384362001204864,0.007583504200192692,0.0002698550002605771,235343.0,131216.0,21.34318189443669,7.2328125
1024,8192,"[60, 40, 60]",40,5,0.06777766399991378,0.0027597074002187584,0.0025728040003741627,0.00751331859955826,0.0002667748001840664,235342.8,131216.0,2.926886392629058e-06,0.0625
4096,8192,"[60, 40, 40, 60]",30,5,0.1261273344000074,0.003767773199979274,0.0034619662001205143,0.016409965399907377,0.00059846979984286,334297.6,235326.4,49.94178160032532,0.5765625
4096,8192,"[60, 40, 40, 60]",40,5,0.1263743693998549,0.003690095399906568,0.003460044200073753,0.016398257599939826,0.0006075893999877735,334394.0,235382.8,7.339419903473754e-06,0.1375
4096,8192,"[60, 40, 60]",30,5,0.06761279839975032,0.003025933999924746,0.002775476799615717,0.00864482200013299,0.00026507300026423763,235356.4,131216.0,49.941863533424836,0.0625
4096,8192,"[60, 40, 60]",40,5,0.06782000139992306,0.0030390100000659004,0.0028266429997529487,0.008692677600265597,0.0002677108002899331,235331.2,131216.0,6.86008488059997e-06,0.0625
1024,16384,"[60, 40, 40, 60]",30,5,0.28298131139999894,0.006863699200221163,0.006440326600022672,0.029768208999848868,0.0012714811997284413,657714.8,459420.6,21.34229248840382,36.346875
1024,16384,"[60, 40, 40, 60]",40,5,0.2722312054002032,0.0068018852001841875,0.006396508799844014,0.029827185000067404,0.0013099328001771938,657947.2,460055.6,3.539512335599681e-05,2.31953125
1024,16384,"[60, 40, 60]",30,5,0.15004028379989903,0.005462656600138871,0.005157040000267443,0.015754170000036538,0.0005507735999344731,459564.4,262291.0,21.344839868772304,15.47109375
1024,16384,"[60, 40, 60]",40,5,0.14587674220019836,0.005469548399923951,0.005128812000111793,0.01577274760002183,0.0005425200000900076,459450.2,262291.0,3.0753266732475024e-05,0.0625
4096,16384,"[60, 40, 40, 60]",30,5,0.2740713480001432,0.007287701200039009,0.00682061320021603,0.034792083200045454,0.0012422511999830022,657543.8,459828.6,49.9401537931531,0.20703125
4096,16384,"[60, 40, 40, 60]",40,5,0.2743172043999948,0.0071560759999556465,0.006742809399838734,0.034734489399852464,0.001232221400096023,657840.8,459850.6,7.485364577775044e-05,0.36796875
4096,16384,"[60, 40, 60]",30,5,0.14559719880016928,0.005817313199986529,0.005438434799725655,0.01811936859976413,0.0005503258000317147,459585.0,262291.0,49.940585724942714,0.0625
4096,16384,"[60, 40, 60]",40,5,0.14591730579977594,0.0058216107998305235,0.005538550199889869,0.018196920399896045,0.0005683580004188116,459806.6,262291.0,7.167441599165159e-05,0.0625
1024,32768,"[60, 40, 40, 60]",30,5,0.614859800799968,0.01380919739985984,0.013159904399981315,0.0662366792001194,0.002579873799913912,1315998.4,920067.4,21.33680353303957,70.678125
1024,32768,"[60, 40, 40, 60]",40,5,0.590657991199987,0.013770493599986366,0.013100050200046098,0.06597631019994879,0.002603951799937931,1315578.4,919956.2,3.193909227672265e-05,0.85859375
1024,32768,"[60, 40, 60]",30,5,0.32288850939985425,0.011080254200169292,0.010398963199986611,0.035190285399767166,0.001142433199674997,920164.8,524441.0,21.338856256814175,33.975
1024,32768,"[60, 40, 60]",40,5,0.3127174510000259,0.011094872400099121,0.010470780600371654,0.035198157000013455,0.0011447794000559951,919709.0,524441.0,3.6870452404258455e-05,0.0625
4096,32768,"[60, 40, 40, 60]",30,5,0.5886235726002269,0.014154213999972853,0.013419119399986811,0.07637552679989312,0.002628417399864702,1315918.0,919584.2,49.94058441043437,0.8375
4096,32768,"[60, 40, 40, 60]",40,5,0.5881103014000473,0.01405985880010121,0.0134996405999118,0.07607708379982796,0.0025827557998127303,1315986.4,919971.2,7.189998490062522e-05,1.4375
4096,32768,"[60, 40, 60]",30,5,0.3132523112002673,0.01151406639983179,0.01086387699997431,0.04074415920003958,0.0011480478000521544,920045.6,524441.0,49.94629599604311,0.465625
4096,32768,"[60, 40, 60]",40,5,0.3128608566001276,0.011501254799986782,0.01070733399992605,0.04060182160010299,0.0011369515998012503,919960.4,524441.0,7.289347210388541e-05,0.0625
10000,32768,"[60, 40, 40, 60]",30,5,0.5888238644000012,0.014978777000214905,0.014137130200288084,0.26668523460011784,0.002554783800223959,1315898.2,919677.2,80.6385149322813,-0.25
10000,32768,"[60, 40, 40, 60]",40,5,0.5912756054001875,0.014831531600248127,0.014142984200043429,0.26713558600004034,0.0025812994004809297,1315991.8,920002.6,0.00015060349790516626,3.9234375
10000,32768,"[60, 40, 60]",30,5,0.31328372759999185,0.012124496199794521,0.011323653200088301,0.13859592199987675,0.0011639451999144513,919690.4,524441.0,80.69932753566712,-0.3875
10000,32768,"[60, 40, 60]",40,5,0.3143507684004362,0.012213985799826332,0.011375440999836428,0.1393156027999794,0.0011653356001261272,919763.0,524441.0,0.0001287393966237005,0.0625
